"year" "PC1_score" "spline_15" "klp_sd" "ulp_sd" "total_sd"
1039 -0.959272213080462 -0.206087002880678 36 28 64
1040 0.133926527679585 -0.125391865645884 36 28 64
1041 0.619779986609166 -0.0545119952340494 36 28 64
1042 0.881592102333399 -0.016574956376419 36 28 64
1043 0.213266203099002 -0.0149309154596088 36 28 64
1044 -0.916168955582044 -0.0298663523359868 36 28 64
1045 -0.838077591236792 -0.0369235513308065 36 27 63
1046 1.3075101619913 -0.0327742286025445 37 27 64
1047 1.10101550503376 -0.0282030143194196 37 28 65
1048 -2.23780157204352 -0.00480446525802147 37 28 65
1049 -0.721064970591617 0.0744216551239574 37 28 65
1050 0.814474066537924 0.202359776370233 38 28 66
1051 0.486073962440002 0.347252042640305 38 28 66
1052 0.740778953866581 0.486533900225039 38 28 66
1053 0.271242465999803 0.604934960859508 38 28 66
1054 1.45949229359415 0.691402904214629 38 28 66
1055 0.818152054559453 0.733282370348537 38 28 66
1056 0.112081417050992 0.732404949489005 38 28 66
1057 1.65654425742196 0.693102179193452 38 28 66
1058 -0.138844039883098 0.612353272358781 38 28 66
1059 1.1022489393966 0.499873320348027 38 28 66
1060 0.22897389533605 0.3579943606454 38 28 66
1061 0.492639881782375 0.196894861967804 37 28 65
1062 -0.34890770003554 0.0287134519218054 37 28 65
1063 -0.495252707245978 -0.130941094544106 37 28 65
1064 0.33468251377375 -0.274561774944291 36 28 64
1065 -0.50790656699858 -0.400929996700958 36 28 64
1066 -1.3001156456334 -0.498741639436055 35 28 63
1067 -0.809234341137168 -0.559873854270343 35 28 63
1068 -0.0375688648976233 -0.594478792633349 35 28 63
1069 -0.187193112601417 -0.619080558958887 36 28 64
1070 -0.746941057966428 -0.637837210302096 37 28 65
1071 -0.997840480655697 -0.643745520132108 37 28 65
1072 -0.583967001924644 -0.631642278995102 37 28 65
1073 -0.849870729909907 -0.603946594906035 37 28 65
1074 -0.0666189271169986 -0.565177698533336 37 28 65
1075 -0.369150382195772 -0.522099346603736 37 28 65
1076 -0.599862910392283 -0.471720339692038 37 28 65
1077 0.21081421108465 -0.406009959323 37 28 65
1078 0.129011386117384 -0.315617834445915 37 28 65
1079 -2.17810645749207 -0.176910599812411 37 28 65
1080 -0.620290089605276 0.0357673841420114 38 29 67
1081 0.0836555103687001 0.305916140026932 38 28 66
1082 0.870814428369878 0.592163253115465 38 28 66
1083 1.79519517657598 0.846638431887654 38 28 66
1084 1.86681844887199 1.03091665140612 38 28 66
1085 1.94521073345228 1.13175878204771 38 28 66
1086 -0.45478481014517 1.16212151239453 38 28 66
1087 1.76850299825566 1.14764895339678 38 26 64
1088 1.53319112544332 1.08816033608089 38 26 64
1089 0.974981253854029 0.990204124753961 38 26 64
1090 1.47446684546749 0.872569576635044 38 26 64
1091 -0.546354692213697 0.759105090764434 37 26 63
1092 -0.566793028960184 0.679235749516708 37 26 63
1093 2.3096813543076 0.632289600167069 37 26 63
1094 -0.348076732378706 0.593930569180338 37 24 61
1095 1.21012722550277 0.563021586837598 37 24 61
1096 1.09827003114003 0.531019131817854 37 24 61
1097 0.547148687959229 0.500737528237626 37 24 61
1098 0.415654371084182 0.490191155887016 37 24 61
1099 -0.0383403257091498 0.520874907579253 37 24 61
1100 -0.311460162818691 0.610122859681949 38 24 62
1101 0.113318570591663 0.758681358966568 38 24 62
1102 0.901598218951227 0.942202543199185 38 24 62
1103 2.30825226535851 1.11815690232686 38 24 62
1104 1.55226100875553 1.2459765038486 38 24 62
1105 1.28545080088729 1.31088105768732 38 24 62
1106 2.75455659327325 1.31035184017237 38 24 62
1107 0.0696927040271213 1.25032960319912 38 24 62
1108 1.56706594028743 1.16020664444448 38 24 62
1109 0.448096377801366 1.05464229641987 37 24 61
1110 -0.0149831755496615 0.947476271106743 36 24 60
1111 1.05483238080608 0.837249388294252 36 24 60
1112 2.41875588299829 0.700754091990971 35 24 59
1113 0.848228739021917 0.523124838005015 35 24 59
1114 -1.13241094508218 0.327539284359064 35 24 59
1115 -1.11139308293259 0.145171249276976 35 24 59
1116 1.27321428455202 -0.0275473362411096 35 24 59
1117 0.957427129250554 -0.220789950243777 35 26 61
1118 -1.28643888281554 -0.438436340033653 35 27 62
1119 -0.482447823041102 -0.657862528543186 35 27 62
1120 -0.563404803640207 -0.866903020272835 36 27 63
1121 -1.90037983741104 -1.05258599376834 36 27 63
1122 -0.50800811346954 -1.19916072389697 36 27 63
1123 -1.03888677449011 -1.30317253810285 36 27 63
1124 -3.70151424393513 -1.34997599620681 36 27 63
1125 -0.0694771050151884 -1.32802076611986 36 27 63
1126 -1.12624377326798 -1.26620415529465 36 29 65
1127 -2.36342963733941 -1.17894133352725 36 29 65
1128 -0.0569619835118629 -1.07739508188304 36 30 66
1129 -1.03913821674384 -0.991083871813408 37 30 67
1130 0.00646318755075709 -0.934907594317818 39 31 70
1131 -0.472290585436833 -0.914686772244764 39 31 70
1132 -1.84370880192138 -0.91489876023407 40 31 71
1133 0.153123991707569 -0.91087710731105 40 31 71
1134 -1.83768036835646 -0.8892884607687 40 31 71
1135 -0.710080484508346 -0.824594343614433 40 31 71
1136 -0.548746048713239 -0.704673552291216 40 31 71
1137 -1.8726461601363 -0.51912066380929 41 31 72
1138 -0.474851562277808 -0.260687235612817 41 31 72
